,city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
0,Newark,New Jersey,34,138040,143873,281913,5829,86253,2,NJ,White,76402
1,Peoria,Illinois,33,56229,62432,118661,6634,7517,2,IL,American Indian and Alaska Native,1343
2,O'Fallon,Missouri,36,41762,43270,85032,5783,3269,2,MO,Hispanic or Latino,2583
3,Hampton,Virginia,35,66214,70240,136454,19638,6204,2,VA,Black or African-American,70303
4,Lakewood,Colorado,37,76013,76576,152589,9988,14169,2,CO,Hispanic or Latino,33630
5,Mesa,Arizona,36,234998,236835,471833,31808,57492,2,AZ,American Indian and Alaska Native,16044
6,Bryan,Texas,29,41761,40345,82106,3602,12014,2,TX,Black or African-American,11914
7,Garland,Texas,34,116406,120430,236836,10407,62975,3,TX,Asian,27217
8,Springfield,Illinois,38,55639,62170,117809,7525,4264,2,IL,Asian,3871
9,Flint,Michigan,35,48984,49313,98297,3757,2138,2,MI,Asian,657
10,Tacoma,Washington,37,100914,107036,207950,19040,31863,2,WA,Black or African-American,30914
11,Waterbury,Connecticut,36,52235,56572,108807,3493,19967,2,CT,White,69075
12,Eagan,Minnesota,36,31587,34701,66288,2699,8642,2,MN,Hispanic or Latino,4328
13,Fort Smith,Arkansas,34,43346,44849,88195,3408,13177,2,AR,Black or African-American,9851
14,Carmichael,California,41,29281,33934,63215,4225,7378,2,CA,White,55862
15,Daly City,California,39,53817,52757,106574,3782,56640,3,CA,White,25522
16,Bryan,Texas,29,41761,40345,82106,3602,12014,2,TX,American Indian and Alaska Native,3557
17,Murrieta,California,35,49363,60453,109816,7242,19875,3,CA,Hispanic or Latino,32944
18,Brentwood,New York,34,31395,32397,63792,1492,27058,4,NY,American Indian and Alaska Native,4242
19,Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2,MA,American Indian and Alaska Native,351
20,Boulder,Colorado,29,56342,51000,107342,4061,12993,2,CO,Black or African-American,1615
21,Waterbury,Connecticut,36,52235,56572,108807,3493,19967,2,CT,American Indian and Alaska Native,492
22,Evanston,Illinois,36,34146,41377,75523,2058,15003,2,IL,White,54496
23,Dothan,Alabama,38,32172,35364,67536,6334,1699,2,AL,Asian,1175
24,Antioch,California,34,54733,55809,110542,5681,24942,3,CA,American Indian and Alaska Native,3462
25,Madison,Wisconsin,30,122596,126360,248956,9707,30090,2,WI,American Indian and Alaska Native,2296
26,Victorville,California,30,60989,61247,122236,7484,21959,3,CA,Black or African-American,26747
27,Billings,Montana,36,52705,57565,110270,9121,3206,2,MT,White,102522
28,Sandy Springs,Georgia,35,48570,56777,105347,3015,19837,2,GA,American Indian and Alaska Native,1574
29,Iowa City,Iowa,25,37089,37138,74227,2047,9202,2,IA,American Indian and Alaska Native,610
30,Largo,Florida,45,38166,42841,81007,8310,10489,2,FL,Asian,3249
31,Shreveport,Louisiana,35,93138,103856,196994,14287,5658,2,LA,Asian,4033
32,Kalamazoo,Michigan,26,37175,38865,76040,3048,3482,2,MI,Asian,2429
33,Round Rock,Texas,34,56646,59193,115839,6804,18237,3,TX,Hispanic or Latino,37151
34,Richmond,California,35,52615,57100,109715,3611,42215,2,CA,Asian,20082
35,Columbia,Missouri,26,56544,62554,119098,4548,10729,2,MO,Asian,8673
36,Sandy,Utah,34,46923,46689,93612,3451,6691,3,UT,Hispanic or Latino,6832
37,Hoover,Alabama,38,38040,46799,84839,4819,8229,2,AL,Black or African-American,18191
38,Fullerton,California,34,69549,71300,140849,5394,43404,2,CA,White,92216
39,Dothan,Alabama,38,32172,35364,67536,6334,1699,2,AL,Black or African-American,23243
40,Rapid City,South Dakota,39,36122,37446,73568,7429,2375,2,SD,American Indian and Alaska Native,9159
41,Newport Beach,California,46,43161,43970,87131,4847,15318,2,CA,American Indian and Alaska Native,423
42,Columbus,Georgia,33,98785,101794,200579,21747,10376,2,GA,White,97436
43,Palm Coast,Florida,48,39489,42632,82121,7950,9084,2,FL,Hispanic or Latino,8706
44,Albany,Georgia,33,31695,39414,71109,5409,861,2,GA,American Indian and Alaska Native,445
45,Jurupa Valley,California,33,49430,50884,100314,3833,25338,3,CA,Black or African-American,3091
46,Providence,Rhode Island,29,89090,90114,179204,4933,53532,2,RI,Black or African-American,30638
47,Decatur,Illinois,40,34646,38210,72856,5291,1224,2,IL,Asian,1343
48,Scranton,Pennsylvania,38,37975,39137,77112,5059,8069,2,PA,Hispanic or Latino,11301
49,Anaheim,California,33,179603,171135,350738,9796,137133,3,CA,American Indian and Alaska Native,2489
50,Rochester,New York,31,100135,109673,209808,7288,17735,2,NY,Black or African-American,93072
51,Buffalo,New York,33,124537,133529,258066,11231,24630,2,NY,Black or African-American,101254
52,Richmond,Virginia,33,104793,115496,220289,12538,15741,2,VA,White,104568
53,Santa Ana,California,30,167503,167920,335423,4735,152999,4,CA,White,163096
54,Sunnyvale,California,35,79480,72280,151760,3900,71441,2,CA,Black or African-American,4210
55,Augusta-Richmond County consolidated government,Georgia,33,94662,101917,196579,19085,7915,2,GA,Hispanic or Latino,9068
56,Milwaukee,Wisconsin,31,286315,313839,600154,20615,58321,2,WI,Black or African-American,248149
57,Conroe,Texas,31,34907,33685,68592,4871,13839,2,TX,Asian,2302
58,Savannah,Georgia,30,69389,76295,145684,9717,10355,2,GA,White,57690
